from,times,to
Беллатриса Лестрейндж,8.0,Сириус Блэк
Джессика Грейнджер.,1.0,Драко Малфой
Гарри Поттер,1.0,Люсьен Карр
Гилдерой Локхарт,1.0,Сириус Блэк III
Ричард Тозиер,19.0,Эдвард Каспбрак
Сакамичи Онода,8.0,Сангаку Манами
fem!Гарри Поттер,2.0,Билл Уизли
fem!Гарри Поттер,2.0,Ремус Люпин
Лили Луна Поттер,3.0,ОЖП
Кэти,1.0,Фред
Гермиона Грейнджер,16.0,Чарли Уизли
Квиринус Квиррелл,5.0,Северус Снейп
Невилл Долгопупс,27.0,Полумна Лавгуд
 Скорпиус Малфой,2.0,Лили Поттер
Драко Малфой,18.0,Луна
Рон Уизли,2.0,Симус Финниган
Логэн Люпин,1.0,Симус Финниган
Ожп,1.0,Северус
Оливер Вуд,4.0,Панси Паркинсон
Гарри Поттер и почти все остальные,1.0,Чарли Уизли
Люциус Малфой,1.0,ОЖП; Драко МалфойОЖП
 Плакса Миртл,1.0,Каспер 
Джеймс,27.0,Северус
ОЖП,2.0,Эйвери
Гермиона Грейнджер,2.0,Ремус
Джордж,2.0,Ожп
Джеймс Сириус Поттер,11.0,Лили Луна Поттер
Гермиона Грейнджер,1.0,попаданец!Гарри Поттер
Аннабет Чейз,14.0,Перси Джексон
Зия Рашид,1.0,Картер Кейн
Джейсон Грейс,15.0,Пайпер МакЛин
Фрэнк Чжан,10.0,Хейзел Левеск
Калипсо,12.0,Лео Вальдес
ОЖП,10.0,Рабастан Лестрейндж
Блейз Забини,13.0,Теодор Нотт
Регулус Блэк,10.0,Том Марволо Реддл
ОЖП,1.0,Тедди Люпин
Локи,4.0,Роза Уизли
Патрик Стамп,2.0,Питер Вентц
Нарцисса Малфой,9.0,Ремус Люпин
ОЖП,23.0,Том Реддл
Ким Тэхён,5.0,Чон Хосок
Елизавета Найт,1.0,Сириус Блэк
Гермиона Грейнджер,1.0,Фред остальные мельком
Ирэн,4.0,Шерлок
Виктуар,10.0,Тедди
Гермиона Грейнджер,1.0,Оливер Лайрон
Маркус,8.0,Саймон
Роза Уизли,5.0,Тедди Люпин 
Дафна Гринграсс,14.0,Рон Уизли
 Лили Эванс,8.0,Северус Снейп 
 Джинни,1.0,Перси 
Люциус Малфой,3.0,Трандуил
fem!Альбус Дамблдор,1.0,Геллерт Гриндельвальд
fem!Сириус Блэк III,1.0,Регулус Блэк
Гермиона Грейнджер,2.0,Кастиэль
CC и другие,1.0,ГП
Геллерт Гриндевальд,13.0,ОЖП
"Бартоломью ""Барри"" Аллен",1.0,Джулиан Альберт
Альбус Дамблдор,8.0,Гермиона Грейнджер
Гермиона Грейнджер и все остальные герои Поттерианы,1.0,Фред Уизли
Мерлин,3.0,Моргана Пендрагон
Луна,2.0,Том Марволо Реддл
past!Джон Хэмиш Ватсон,1.0,past!Мэри Элизабет Морстен
Лили,6.0,Сириус
Панси Паркинсон,3.0,Северус Снейп
Блейз Забини,17.0,Гарри Поттер
Альбус Северус Поттер,35.0,Скорпиус Малфой
Гермиона Грейнджер,25.0,Луна Лавгуд
Драко Малфой.,1.0,Лили Поттер
Гарри Поттер,1.0,ОЖП и другие
Северус Снейп,1.0,Элизабет Дэй
Джулиан Альберт,1.0,Савитар
"Бартоломью ""Барри"" Аллен",2.0,Кейтлин Сноу
Гарри Поттер,5.0,Смерть
Гарри Поттер,1.0,Сириус Блэк 
Драко Малфой,14.0,Полумна
Иви Кларк,1.0,Ремус Люпин
Доминика МакКиннон,1.0,Северус Снейп
Джессика МакКиннон,1.0,Регулус Блэк
 Гермиона Грейнджер,1.0,Сириус Блэк 
ОМП,11.0,Роза Уизли
Янто Джонс,3.0,капитан Джек Харкнесс
Гарри Харт,4.0,Гэри Анвин
Мерлин,1.0,Поппи Адамс
Лили Луна Поттер,11.0,Северус Снейп
Гарри Харт,1.0,Мерлин
Лицо Бо,1.0,Янто Джонс
Гэри Анвин,1.0,Мерлин
Алан Рикман,1.0,ОЖП
fem!Гарри Поттер,9.0,ОМП
 Малфой,1.0,Грейнджер 
Гарри Потер,1.0,Гермиона Гренджер
Доркас Медоуз,20.0,Ремус Люпин
Проксима Миднайт,1.0,Тор
Ванда Максимофф (Алая Ведьма),1.0,Локи
Питер Паркер,1.0,Тор
Драко Малфой,1.0,Седрик Диггори
Годрик Гриффиндор,1.0,Ровена Равенкло
Гермиона Грейнджер,20.0,Локи
Беллатриса Лестрейндж,1.0,Ксенофилиус Лавгуд
Ксенофилиус Лавгуд,9.0,Пандора Лавгуд
Драко Малфой.,1.0,Рон Уизли
Гарри Поттер,2.0,Лорд Волан-де-Морт
Гарри Поттер,11.0,Луна
Салазар Слизерин,18.0,Хельга Хаффлпафф
Северус Снейп,1.0,в целом Гермиона Грейнджер
?,9.0,Гермиона Грейнджер
Билл Уизли,1.0,Феликс Розье
Гарри Поттер,4.0,Джаспер Хейл
Найт Кроусет,1.0,Фред Уизли
Гарри Поттер,2.0,Цири
Альбус Дамблдор,1.0,Драко Малфой
Дафна,1.0,Трейси
Гарри Поттер,1.0,Джулия Стратфорд
Гарри\Северус,2.0,Люциус
Миллисента Булстроуд,1.0,Флёр Делакур
Дадли Дурсль,1.0,Хагрид
Андромеда Тонкс,5.0,Гарри Поттер
Гарри Поттер,26.0,Нарцисса Малфой
Гарри Поттер,2.0,Тауриэль
Арвен Ундомиэль,2.0,Гарри Поттер
Гарри Поттер,1.0,Келебриан
Аластор Грюм,1.0,Долорес Амбридж
Гарри Поттер ,1.0,Леголас
Гарриэт Поттер,1.0,Драко Малфой
Сэр Николас де Мимси-Дельфингтон,1.0,Теодора Вилларе
Гарри Поттер,5.0,Ди
альфа!Драко Малфой,21.0,омега!Гарри Поттер
Джинни Уизли,3.0,Ремус Люпин
Антонин Долохов,2.0,Драко Малфой
Волдеморт,1.0,Мэри Сью
Гермиона Грейнджер,1.0,Гермиона Грейнджер
Беллатриса Лестрейндж,2.0,Рудольфус Лестрейндж
alt!Гермиона Грейнджер,1.0,alt!Панси Паркинсон
Волан-де-морт,1.0,Шерлок холмс
Годрик,4.0,Салазар
Криденс Бэрбоун,6.0,Нагини
Лета Лестрейндж,9.0,Тесей Скамандер
Куини Голдштейн,12.0,Якоб Ковальски
Винда Розье,2.0,Геллерт Гриндевальд
 Северус Снейп,11.0,Гермиона Грейнджер 
 Гермиона Грейнджер,1.0,Том Реддл 
Гарри Поттер,17.0,Сириус Блэк
Альбус Поттер,6.0,Скорпиус Малфой
Лили Луна Поттер,13.0,Скорпиус Малфой
Гермиона Грейнджер,16.0,Полумна Лавгуд
Нико ди Анджело,1.0,Полумна Лавгуд
Бэкхён,8.0,Чанёль
Скорпиус Малфой,1.0,Тедди Люпин
НЖП,5.0,Том Реддл
Ред,1.0,Хикари
Сатоши,1.0,Хикари
Харука,1.0,Юки
Калем,1.0,Серена
Котоне,1.0,Сильвер
human!RK900,4.0,Гэвин Рид
Гермиона Грейнджер,31.0,Джордж
ГГ,158.0,ДМ
Изабелла Поттер,1.0,Эдвард Каллен
Джаред,1.0,Дженсен
Драко Малфой,1.0,девушка
Лили Поттер,11.0,Ремус Люпин
Гарри Поттер,1.0,Сириус Блек
Альбус Северус Поттер,2.0,Луи Уизли
ж,6.0,м
Лука Лалльман,2.0,Элиотт Демори
Астория,11.0,Драко Малфой
Арманд Розье,1.0,Эмма Ванити
альфа!Сириус Блэк III,1.0,омега!Северус Снейп
fem!Рон Уизли,2.0,male!Пэнси Паркинсон
dead!Лили Поттер,1.0,Северус Снейп
Валькирия,1.0,Гарри Поттер
Гарри Поттер,7.0,Хела
Джинни Уизли,1.0,Локи
Богдан,1.0,Лили
Альбус С. Поттер,1.0,Джеймс С. Поттер
Гарри Поттер,2.0,Торин Дубощит
Кили,2.0,Фили
Лили Луна Поттер,3.0,Лисандр Скамандер
Доминик Уизли,3.0,Лоркан Скамандер
Генри Поттер,1.0,Драко Малфой
Северус,1.0,все-все-все
Дэниэл Рэдклифф,1.0,Том Фелтон
Драко Малфлой,1.0,Рон Уизли
ДУ,1.0,ЛЛ
Ирка Хортица,1.0,Нимфадора Тонкс
Беллатрикс,5.0,Волдеморт
Беверли Марш,3.0,Бенджамин Хэнском
Минерва,1.0,Северус
 Северус Снейп,1.0,нжп
 Лили Эванс,5.0,Джеймс Поттер
Вальбурга Блэк,1.0,Геллерт Гриндельвальд
Билли Эндрюс,1.0,Коул Маккензи
Волшебство,1.0,Магия
Годрик Гриффиндор,6.0,Ровена Рейвенкло
fem!Северус Снейп,2.0,Сириус Блэк
fem!Оливер Вуд,2.0,Маркус Флинт
Минерва МакГонагалл,11.0,Северус Снейп
Марлин Маккиннон,3.0,Питер Петтигрю
adult!Ремус Люпин,1.0,adult!Сириус Блэк III
Люциус Малфой,8.0,ОМП
Полумна Лавгуд ,1.0,Рольф Скамандер
НЖП,1.0,Том Риддл
Драко Малфой,53.0,Люциус Малфой
ОЖП,3.0,Стайлз Стилински
ОЖП,3.0,Стив Роджерс
